step,eval_return
10000,-366.67194975110004
20000,-430.23283880495546
30000,581.6298791514707
40000,1282.2278600424002
50000,2538.5424504488597
60000,3230.064290771669
70000,3805.130194739491
80000,1049.8642916346066
90000,3549.7450643591424
100000,4248.406062035326
110000,4439.85793613682
120000,4609.735302712477
130000,4142.533532611491
140000,2863.6043989214295
150000,4613.693288911041
160000,4655.69953758167
170000,4812.785057044521
180000,4441.14693989056
190000,4692.540340862923
200000,4942.938993908035
210000,5029.487302512692
220000,4918.272053786946
230000,5061.704137886181
240000,5299.663479534158
250000,5041.2933238735695
260000,5156.27700718806
270000,4988.665821067391
280000,5312.808370870031
290000,5278.481521141842
300000,5318.251459698082
310000,5409.822941243154
320000,5266.2235042168295
330000,5522.125904843713
340000,5257.961634749689
350000,5476.256430899524
360000,5531.536233906273
370000,5484.541396632546
380000,5507.333576429617
390000,5506.175482132809
400000,5422.3380895119235
410000,5521.526267738344
420000,5473.462365835927
430000,5781.302752493009
440000,5445.326730205399
450000,5765.99476737336
460000,5665.36938037471
470000,5472.463646555987
480000,5828.8319254392645
490000,5692.736245376758
500000,5465.589549375562
