step,eval_return
10000,-9.463278291782759
20000,-9.222897481236199
30000,-40.8177993195966
40000,224.98336955456685
50000,165.41206495566132
60000,207.40976088855473
70000,277.4123581989045
80000,221.5683489395814
90000,384.02532161316867
100000,239.0873050825459
110000,301.52387848567076
120000,432.00867925719797
130000,301.80933798092525
140000,346.6697754791712
150000,344.5112588328625
160000,255.57182940515776
170000,773.8181861575665
180000,334.0547677364668
190000,580.5496998936993
200000,832.5250268440863
210000,697.7098620806498
220000,331.98543211959066
230000,552.112645636066
240000,474.68086404499473
250000,892.9182884996383
260000,1618.6990121600222
270000,1239.8906937794654
280000,1497.526676198231
290000,1355.2384022284423
300000,865.9741068561204
310000,1247.6272959219682
320000,1670.283336308994
330000,3012.0873604285944
340000,1808.2662746078681
350000,574.7373983523225
360000,3031.278703602916
370000,1535.3728826285503
380000,2190.050336399842
390000,2808.238186241832
400000,3365.5321682440035
410000,3669.886675978488
420000,3706.682471260176
430000,3684.0444190715307
440000,3773.4040725308196
450000,3938.3542839464526
460000,4054.276790537573
470000,2784.2240636189836
480000,3645.066748309684
490000,3029.1524691427267
500000,4586.660738868945
