step,eval_return
10000,-377.8572847321147
20000,-589.9262055974599
30000,179.95539229563613
40000,1294.0964169459758
50000,789.6466651823799
60000,1625.4071799511755
70000,2936.683941772663
80000,3835.4876859826354
90000,3871.8800932334116
100000,4086.8548428242416
110000,4145.501864856921
120000,4444.410703549843
130000,4309.929556215486
140000,4484.5780088665615
150000,4508.670179050587
160000,4683.684715298524
170000,4848.14986258897
180000,4719.700511445832
190000,4734.586342970909
200000,4950.346493168793
210000,4983.334517708294
220000,5034.064986558564
230000,5166.349594428188
240000,5285.313594049941
250000,5270.161907569201
260000,5226.395175717375
270000,5272.924867040473
280000,5274.906736715309
290000,5355.167129563482
300000,5492.0849616600835
310000,5498.605088891679
320000,5793.914530800183
330000,5748.994847882263
340000,5649.419748852915
350000,5757.729663455971
360000,5708.326958954002
370000,5602.106646421946
380000,5865.60869814182
390000,5918.198972326146
400000,5928.50017157764
410000,5672.211049648971
420000,6158.56889066899
430000,6112.199642734808
440000,6007.416541201483
450000,6054.3644577441255
460000,6413.584697013316
470000,6376.784731672118
480000,6221.939348181598
490000,6577.884673106257
500000,6570.94256539401
